Distance_(microns),eve,en,mlpt,hb,kr,gt,svb,cad,runt,odd
0,177.6595528,243.9888211,629.2835366,1202.308943,653.4827236,189.3882114,738.0071138,232.620935,667.0203252,356.2276423
1,176.6930894,247.3333333,621.4969512,1184.914634,653.3526423,187.9827236,741.1920732,234.3414634,667.1534553,357.3902439
2,175.186802,246.8162437,623.2771574,1171.150254,656.5279188,188.742132,743.3796954,236.1604061,665.2670051,357.7807107
3,174.9106599,243.7949239,629.7340102,1167.240609,658.4649746,189.2314721,746.0477157,237.5025381,667.9664975,359.3431472
4,174.657868,242.4446701,637.3705584,1174.960406,657.2335025,187.8152284,753.328934,238.1147208,675.3908629,361.5238579
5,175.551269,243.4192893,635.5106599,1186.612183,658.2436548,186.3624365,759.8964467,238.4213198,679.680203,363.719797
6,176.7778905,242.2677485,638.0496957,1193.535497,660.9858012,185.8732252,763.5121704,237.637931,680.7434077,362.2849899
7,177.2089249,239.9858012,643.4624746,1209.704868,661.9482759,187.1713996,761.4371197,236.2647059,681.7200811,360.5121704
8,177.3356998,237.989858,654.2139959,1235.509128,659.856998,188.3549696,757.4553753,233.9858012,683.4066937,361.3397566
9,177.0070922,237.4690983,653.8368794,1259.608916,656.408308,188.3850051,758.8449848,233.2725431,686.1033435,360.7862209
10,177.8733536,238.218845,650.6707194,1279.274569,654.4893617,188.7841945,761.7771023,235.3221884,692.2289767,359.1448835
11,180.0637652,239.5121457,654.7297571,1287.201417,658.6963563,189.659919,762.8603239,237.1072874,696.034413,357.2540486
12,182.0597166,240.4605263,655.9534413,1293.247976,663.284413,190.5728745,765.2348178,237.0657895,695.9605263,359.5232794
13,184.39636,239.7431749,646.586451,1296.191102,665.6046512,191.0404449,765.7876643,236.239636,693.9555106,361.6289181
14,185.9828109,240.8321537,637.3680485,1292.131446,665.2285137,192.6895854,770.1890799,236.3943377,695.3013145,360.9322548
15,187.0242669,239.6521739,633.4590495,1289.686552,665.2022245,191.5712841,771.8088979,235.1294237,697.2851365,357.8665319
16,187.7623862,237.9817998,625.5672396,1275.974722,666.4024267,189.3913043,772.4064712,233.7421638,693.3205258,355.0242669
17,188.1666667,235.7313131,626.5141414,1268.081818,667.8282828,189.0090909,769.2292929,233.6323232,687.5,355.8313131
18,188.0565657,235.0717172,632.7222222,1269.19697,664.1121212,190.2808081,764.8161616,235.5606061,683.4717172,358.4636364
19,184.8766431,234.9929221,634.4469161,1268.632963,659.7138524,191.9716886,760.1941355,236.8159757,684.2578362,360.826087
20,182.2740142,235.1092012,635.5085945,1262.488372,661.4044489,193.917088,754.7815976,237.1213347,686.1870576,361.5692619
21,181.2537917,233.5247725,634.4095046,1262.560162,663.4812942,193.1516684,753.2932255,238.3913043,686.6895854,361.6380182
22,181.8058645,231.0778564,632.0819009,1274.527806,660.9271992,192.5682508,753.0839232,241.4418605,686.3377149,362.760364
23,183.1941355,229.2244692,623.8291203,1276.399393,657.2922144,192.809909,754.6410516,242.8968655,687.6875632,364.8169869
24,184.5707071,231.0363636,624.5292929,1281.526263,658.8222222,193.2777778,757.3131313,242.6272727,686.9070707,364.3747475
25,185.5606061,234.3858586,631.4616162,1306.361616,660.3191919,193.8474747,756.7373737,241.3545455,686.840404,364.1868687
26,185.8030303,238.5212121,642.7909091,1323.708081,658.6191919,193.0010101,754.5444444,238.8414141,687.240404,363.8777778
27,186.7646465,239.059596,646.8333333,1324.145455,659.8393939,191.3858586,753.430303,235.9454545,685.8454545,364.2212121
28,189.230303,239.0616162,643.2757576,1312.639394,665.6737374,190.230303,756.8333333,236.4707071,683.3505051,367.5565657
29,192.0161616,239.3949495,633.9878788,1300.064646,666.2131313,190.0090909,759.8808081,239.2878788,683.7545455,372.4767677
30,193.0242424,239.6393939,626.2565657,1308.339394,673.1393939,190.879798,759.0848485,241.3646465,682.3494949,375.6040404
31,190.6727273,238.7393939,622.9929293,1320.823232,684.2353535,191.7161616,759.0090909,241.9686869,682.2515152,376.9565657
32,188.259596,237.0424242,619.0262626,1324.434343,684.9383838,192.6828283,763.8989899,241.6484848,686.689899,374.679798
33,187.1444444,238.9414141,613.3707071,1316.534343,679.9919192,194.3979798,772.3171717,242.1464646,691.5111111,367.4787879
34,186.4333333,242.8555556,615.0242424,1321.060606,674.5636364,196.0323232,776.6363636,241.8444444,690.5333333,359.5242424
35,187.6545455,242.7979798,617.9979798,1326.648485,675.9050505,197.0383838,774.0323232,241.0474747,687.7383838,356.6868687
36,189.9535354,239.2757576,617.620202,1311.743434,680.5949495,197.3373737,772.6636364,241.1939394,686.4848485,360.2232323
37,193.2416582,237.6309403,619.1476239,1292.399393,684.7836198,197.7259858,773.80182,241.1253792,686.5915066,364.6916077
38,195.1941355,237.8159757,624.3902932,1285.782609,687.9797776,197.6764408,773.5995956,241.2537917,686.7219414,364.3276036
39,195.9211325,238.0970677,621.273003,1290.320526,691.3872599,197.5217391,773.627907,241.685541,686.9049545,361.7735086
40,194.9292214,238.8361982,613.140546,1288.325581,693.2901921,198.2325581,775.2436805,241.5874621,687.0121335,361.9747219
41,192.7856421,237.4974722,611.7340748,1278.168857,694.7219414,197.9595551,778.6450961,240.4802831,686.7563195,363.6491405
42,192.4484848,235.4919192,621.7393939,1295.450505,693.2838384,196.630303,777.1555556,240.2626263,686.6252525,362.6010101
43,194.1747475,235.159596,616.8909091,1331.347475,687.7464646,196.3454545,772.0717172,241.8393939,689.3050505,361.7878788
44,196.0010101,235.1919192,609.4333333,1358.307071,686.1232323,196.9717172,768.1808081,246.3414141,693.8343434,362.4111111
45,197.3434343,235.8141414,608.5575758,1362.140404,688.7232323,196.5646465,763.3323232,249.5080808,698.8434343,361.6494949
46,197.9080808,236.3767677,618.4373737,1352.576768,688.8161616,194.7111111,760.5454545,248.6060606,700.0313131,358.4515152
47,198.1454545,237.3383838,614.8080808,1364.340404,685.3141414,192.9919192,761.120202,244.6565657,698.6414141,356.2505051
48,199.7373737,238.9474747,604.8020202,1368.059596,679.6515152,192.3484848,761.8626263,242.5555556,696.679798,357.4090909
49,201.4,239.4808081,598.6464646,1349.871717,677.2767677,191.9868687,759.4858586,242.4222222,695.1919192,359.8919192
50,200.4939394,239.3777778,595.859596,1339.194949,678.3646465,191.7292929,755.0040404,243.4737374,693.6393939,360.2575758
51,198.0566229,238.8119312,593.7330637,1334.73003,678.2851365,192.0182002,754.4206269,246.5854398,689.7957533,359.726997
52,196.1011122,238.5520728,590.3842265,1331.263903,674.6006067,191.6349848,756.0940344,247.1759353,686.7553084,359.9757331
53,195.7654196,239.3346815,589.3619818,1325.527806,672.1122346,191.4560162,760.4863498,244.5358948,688.3033367,362.1638018
54,197.1547017,240.9282103,589.1951466,1327.904954,665.2093023,190.8139535,762.7532861,243.6723964,690.4893832,365.3528817
55,198.0930233,241.9494439,591.041456,1336.345804,663.7775531,191.2679474,761.3731041,246.1870576,690.2366026,365.5955511
56,199.255814,240.0637007,597.3670374,1341.793731,665.3619818,190.9302326,757.8655207,247.6390293,688.1435794,363.1011122
57,201.3872599,236.247725,600.7462083,1334.590495,660.669363,189.966633,751.8533873,245.6592518,684.9686552,362.619818
58,205.0293225,236.3154702,603.1183013,1324.595551,657.3811931,189.380182,748.7300303,246.2689585,682.4479272,362.0303337
59,209.1466127,239.3508595,602.8200202,1327.033367,659.8493428,190.2204247,746.3842265,247.4105157,681.9939333,360.4186047
60,209.8695652,241.875632,605.7846309,1349.91911,659.8574317,190.9150657,747.429727,248.4165824,681.3447927,358.8038423
61,208.5722952,241.6956522,607.3822042,1365.025278,664.0980789,190.0798787,749.512639,249.3761375,680.5358948,355.9160768
62,208.372093,240.3073812,611.0606673,1368.212336,668.5995956,190.1253792,751.8190091,249.1314459,681.3973711,353.6521739
63,209.1021234,239.826087,612.7927199,1361.927199,672.1031345,190.6885743,756.6723964,248.2285137,681.6905966,354.9777553
64,209.9969666,240.6804853,607.7997978,1345.421638,675.0485339,191.1830131,765.8847321,247.7057634,681.6572295,356.0859454
65,210.2264914,240.80182,602.7431749,1329.011122,669.6410516,192.3862487,772.0606673,247.8847321,680.1041456,355.7360971
66,209.8291203,238.8372093,601.4539939,1331.22548,664.4984833,191.6501517,774.5722952,248.0273003,682.3407482,357.1658241
67,208.8665319,236.7502528,598.8159757,1337.885743,666.9312437,191.6420627,777.9777553,248.8351871,688.635996,360.2285137
68,208.1375126,235.0728008,594.5278059,1345.014156,670.9261881,194.7917088,781.5005056,250.4651163,691.512639,360.6723964
69,207.6430738,234.4641052,586.0252781,1360.851365,674.0141557,195.7694641,780.90091,251.8119312,691.0879676,359.0313448
70,208.4074823,234.7967644,571.6440849,1366.527806,672.6734075,195.1617796,778.1284125,251.5065723,688.619818,358.7664307
71,210.2737374,235.4636364,564.0939394,1370.149495,669.0939394,194.7585859,778.7020202,251.3919192,688.3212121,359.8626263
