Distance_(microns),eve,engril,mlpt,hb,kr,gt,svb,cad,runt,odd
0,169.11940298507463,97.91044776119404,411.5149253731343,1020.5149253731344,104.32835820895522,343.1194029850746,325.7164179104478,120.50746268656717,189.38059701492537,177.86567164179104
1,187.72535211267606,107.45070422535211,452.09154929577466,1106.0211267605634,114.74647887323944,353.40140845070425,347.7957746478873,127.20422535211267,200.04225352112675,194.64084507042253
2,185.83544303797467,103.5379746835443,429.9873417721519,1101.113924050633,111.81012658227849,330.7088607594937,332.0379746835443,121.00632911392405,193.22784810126583,193.4873417721519
3,193.78235294117647,106.75294117647059,429.1411764705882,1237.8058823529411,118.15882352941176,344.9294117647059,344.44117647058823,124.66470588235295,206.4764705882353,209.1764705882353
4,205.6497175141243,109.49152542372882,417.1525423728813,1241.7570621468926,118.33333333333333,345.5310734463277,341.9717514124294,122.2316384180791,209.12429378531073,208.0225988700565
5,221.09677419354838,116.53763440860214,421.10752688172045,1292.6827956989248,121.52688172043011,354.6559139784946,346.247311827957,123.54838709677419,214.252688172043,208.9731182795699
6,241.75520833333334,117.31770833333333,421.8489583333333,1312.6510416666667,120.734375,356.859375,342.7291666666667,124.23958333333333,213.96875,210.96354166666666
7,269.6497461928934,120.09137055837563,425.24873096446703,1368.1827411167512,121.21319796954315,358.21319796954316,348.1472081218274,129.5736040609137,221.44162436548223,219.42131979695432
8,300.9903381642512,116.38647342995169,408.40579710144925,1366.1980676328503,118.2512077294686,342.17874396135267,342.256038647343,129.83574879227052,219.67632850241546,215.1304347826087
9,340.7047619047619,119.07142857142857,405.3142857142857,1414.0761904761905,119.4,339.0238095238095,344.6666666666667,131.77619047619046,222.56666666666666,219.15238095238095
10,381.2283105022831,121.51598173515981,392.88584474885846,1451.8036529680364,116.22374429223744,337.324200913242,338.46118721461187,127.11872146118722,218.4200913242009,217.2283105022831
11,404.9026548672566,122.72444444444444,381.3362831858407,1467.9070796460178,115.29777777777778,337.0575221238938,333.82300884955754,123.38666666666667,214.61061946902655,211.9646017699115
12,424.1535087719298,124.00438596491227,375.8464912280702,1533.9736842105262,117.09210526315789,345.4824561403509,340.49122807017545,125.9298245614035,218.58771929824562,219.9780701754386
13,421.725321888412,122.80257510729614,357.2360515021459,1519.351931330472,116.2618025751073,349.56223175965664,334.4420600858369,127.76394849785407,218.75107296137338,225.11587982832617
14,429.046218487395,131.2983193277311,343.718487394958,1521.0714285714287,118.52100840336135,359.9957983193277,328.07142857142856,129.58823529411765,220.99159663865547,223.16806722689077
15,426.7759336099585,141.09128630705393,338.344398340249,1561.6846473029045,122.16597510373444,371.56846473029043,329.04564315352695,131.21576763485479,226.95020746887965,221.09128630705393
16,425.16803278688525,145.36065573770492,334.02868852459017,1617.450819672131,123.96311475409836,381.9016393442623,339.6311475409836,132.46311475409837,230.54508196721312,224.52459016393442
17,419.2128514056225,141.7550200803213,325.63453815261045,1621.5903614457832,123.90322580645162,381.8112449799197,350.35341365461846,133.09274193548387,227.9156626506024,230.97590361445782
